舞台,ぶたい
兎,うさぎ
鼠,ねずみ
頬,ほお
膝,ひざ
餌,えさ
量,りょう
莫大,ばくだい
式,しき
紐,ひも
連想,れんそう
地平線,ちへいせん
場,ば
動詞,どうし
袖,そで
灰,はい
秒,びょう
県,けん
帯,おび
有る,ある
其の,その
言う,いう
出来る,できる
良い,よい
此の,この
何,なに
今日,きょう
皆,みんな
勉強,べんきょう
後ろ,うしろ
町,まち
又,また
余り,あまり
本当,ほんとう
体,からだ
夕べ,ゆうべ
上る,のぼる
魚,さかな
暖かい,あたたかい
立派,りっぱ
多分,たぶん
十,じゅう
練習,れんしゅう
幾つ,いくつ
張る,はる
丸い,まるい
浴びる,あびる
縦,たて
其れ,それ
何時も,いつも
掛かる,かかる
開ける,あける
付ける,つける
幾ら,いくら
真っ直ぐ,まっすぐ
お腹,おなか
と,と
大抵,たいてい
値段,ねだん
形,かたち
遠慮,えんりょ
止める,とめる
褒める,ほめる
硬い,かたい
凄い,すごい
濡れる,ぬれる
外出,がいしゅつ
当時,とうじ
案内,あんない
地方,ちほう
一方,いっぽう
発展,はってん
双子,ふたご
団体,だんたい
夜中,よなか
中央,ちゅうおう
共同,きょうどう
通り,とおり
埃,ほこり
でも,でも
日,にち
等,など
事,こと
彼ら,かれら
我々,われわれ
方,ほう
成功,せいこう
何か,なにか
尻,しり
出発,しゅっぱつ
起こる,おこる
考え,かんがえ
何も,なにも
友人,ゆうじん
努力,どりょく
終える,おえる
最も,もっとも
素晴らしい,すばらしい
運転,うんてん
重要,じゅうよう
助ける,たすける
幸せ,しあわせ
心配,しんぱい
感じる,かんじる
提案,ていあん
出席,しゅっせき
他人,たにん
以前,いぜん
間違い,まちがい
価値,かち
突然,とつぜん
賛成,さんせい
愛する,あいする
老人,ろうじん
到着,とうちゃく
満足,まんぞく
氏,し
守る,まもる
失う,うしなう
下さる,くださる
只,ただ
方法,ほうほう
無駄,むだ
援助,えんじょ
合格,ごうかく
許す,ゆるす
帰宅,きたく
世話,せわ
会合,かいごう
事件,じけん
お前,おまえ
議論,ぎろん
困難,こんなん
決心,けっしん
要求,ようきゅう
駄目,だめ
受け取る,うけとる
年間,ねんかん
年間,ねんかん
結局,けっきょく
激しい,はげしい
尊敬,そんけい
大いに,おおいに
準備,じゅんび
滞在,たいざい
全然,ぜんぜん
扱う,あつかう
現れる,あらわれる
参加,さんか
実行,じっこう
離れる,はなれる
貧しい,まずしい
出来るだけ,できるだけ
偉大,いだい
望む,のぞむ
修理,しゅうり
誤り,あやまり
目的,もくてき
感謝,かんしゃ
示す,しめす
相手,あいて
全員,ぜんいん
教師,きょうし
人気,にんき
招待,しょうたい
黙る,だまる
完全,かんぜん
出会う,であう
実際,じっさい
辺り,あたり
冗談,じょうだん
歌手,かしゅ
能力,のうりょく
才能,さいのう
敵,てき
自慢,じまん
選手,せんしゅ
一体,いったい
欠点,けってん
素敵,すてき
更に,さらに
回復,かいふく
熱心,ねっしん
判断,はんだん
訪問,ほうもん
態度,たいど
給料,きゅうりょう
注文,ちゅうもん
既に,すでに
決定,けってい
影響,えいきょう
次第,しだい
年齢,ねんれい
正確,せいかく
主張,しゅちょう
便り,たより
土地,とち
信用,しんよう
延期,えんき
旅,たび
商売,しょうばい
奪う,うばう
苦労,くろう
喜び,よろこび
提出,ていしゅつ
姿,すがた
回,かい
追いつく,おいつく
好む,このむ
話し合う,はなしあう
不足,ふそく
状況,じょうきょう
明らか,あきらか
変化,へんか
邪魔,じゃま
書類,しょるい
万一,まんいち
単語,たんご
恐れる,おそれる
最高,さいこう
種類,しゅるい
週間,しゅうかん
幸運,こううん
事態,じたい
越える,こえる
調子,ちょうし
以来,いらい
得意,とくい
状態,じょうたい
成長,せいちょう
必ずしも,かならずしも
光景,こうけい
頼る,たよる
残す,のこす
隠す,かくす
恐ろしい,おそろしい
実は,じつは
戦う,たたかう
誇り,ほこり
常に,つねに
一言,ひとこと
性格,せいかく
借金,しゃっきん
中止,ちゅうし
容易,ようい
達する,たっする
天候,てんこう
罪,つみ
乗客,じょうきゃく
地位,ちい
勝ち,かち
立場,たちば
一層,いっそう
備える,そなえる
再び,ふたたび
命,いのち
職,しょく
不思議,ふしぎ
欠席,けっせき
環境,かんきょう
傾向,けいこう
燃える,もえる
是非,ぜひ
出身,しゅっしん
覆う,おおう
供給,きょうきゅう
手段,しゅだん
断る,ことわる
不幸,ふこう
感動,かんどう
先日,せんじつ
乗せる,のせる
感じ,かんじ
表現,ひょうげん
無視,むし
支払う,しはらう
余裕,よゆう
奇妙,きみょう
奇妙,きみょう
違い,ちがい
変更,へんこう
合わせる,あわせる
美人,びじん
実現,じつげん
仲間,なかま
無事,ぶじ
雇う,やとう
成績,せいせき
殺す,ころす
発表,はっぴょう
様々,さまざま
恐らく,おそらく
全体,ぜんたい
歓迎,かんげい
許可,きょか
製品,せいひん
疑う,うたがう
大部分,だいぶぶん
通す,とおす
動かす,うごかす
完成,かんせい
最終,さいしゅう
女優,じょゆう
想像,そうぞう
物事,ものごと
便,びん
経営,けいえい
増加,ぞうか
救う,すくう
関心,かんしん
横断,おうだん
唯一,ゆいいつ
現代,げんだい
育つ,そだつ
際,さい
支払い,しはらい
相談,そうだん
婦人,ふじん
活動,かつどう
王,おう
考慮,こうりょ
貯金,ちょきん
恋,こい
命じる,めいじる
結論,けつろん
出来事,できごと
劇,げき
分ける,わける
文句,もんく
見送り,みおくり
人類,じんるい
協力,きょうりょく
桜,さくら
人物,じんぶつ
望み,のぞみ
食料,しょくりょう
確かめる,たしかめる
略,ほぼ
食物,しょくもつ
使用,しよう
愛情,あいじょう
癖,くせ
一生,いっしょう
処理,しょり
確認,かくにん
加える,くわえる
部分,ぶぶん
当てる,あてる
報告,ほうこく
同様,どうよう
日曜,にちよう
直ちに,ただちに
眺める,ながめる
可能,かのう
画家,がか
高価,こうか
様子,ようす
禁止,きんし
禁止,きんし
深刻,しんこく
頂上,ちょうじょう
被害,ひがい
手術,しゅじゅつ
誤解,ごかい
傷,きず
警告,けいこく
夫婦,ふうふ
穴,あな
誘う,さそう
専攻,せんこう
暮らし,くらし
抱える,かかえる
評判,ひょうばん
用いる,もちいる
重大,じゅうだい
慎重,しんちょう
味方,みかた
犯人,はんにん
夫人,ふじん
目標,もくひょう
味方,みかた
繰り返す,くりかえす
交換,こうかん
今回,こんかい
損害,そんがい
好み,このみ
親しい,したしい
語る,かたる
骨,ほね
相当,そうとう
限る,かぎる
演奏,えんそう
例,れい
幸い,さいわい
料金,りょうきん
世の中,よのなか
内容,ないよう
条件,じょうけん
