上げる,あげる
長所,ちょうしょ
休息,きゅうそく
湿気,しっけ
勝負,しょうぶ
役人,やくにん
相互,そうご
引っ越し,ひっこし
海洋,かいよう
上り,のぼり
関西,かんさい
正門,せいもん
連合,れんごう
連合,れんごう
下町,したまち
大小,だいしょう
一応,いちおう
伸ばす,のばす
伸びる,のびる
越す,こす
粗い,あらい
御免,ごめん
一旦,いったん
麓,ふもと
生け花,いけばな
欧米,おうべい
稽古,けいこ
隙間,すきま
箪笥,たんす
瀬戸物,せともの
合流,ごうりゅう
一昨日,おととい
醤油,しょうゆ
けど,けど
大分,だいぶ
下る,くだる
間もなく,まもなく
耐える,たえる
少なくとも,すくなくとも
押さえる,おさえる
知り合い,しりあい
相変わらず,あいかわらず
率直,そっちょく
努める,つとめる
殴る,なぐる
慌てる,あわてる
診る,みる
何とも,なんとも
稀,まれ
迫る,せまる
狙う,ねらう
浮かべる,うかべる
預かる,あずかる
交代,こうたい
枯れる,かれる
当たり前,あたりまえ
外れる,はずれる
広げる,ひろげる
取り消す,とりけす
見送る,みおくる
伝わる,つたわる
接する,せっする
配る,くばる
売り上げ,うりあげ
刺す,さす
分かれる,わかれる
属する,ぞくする
作成,さくせい
呼び出す,よびだす
飢える,うえる
積む,つむ
懐かしい,なつかしい
懐かしい,なつかしい
性質,せいしつ
建つ,たつ
埋める,うめる
方針,ほうしん
解散,かいさん
兼ねる,かねる
生き生き,いきいき
夫妻,ふさい
余計,よけい
法則,ほうそく
発揮,はっき
日差し,ひざし
登場,とうじょう
国王,こくおう
原稿,げんこう
通知,つうち
別荘,べっそう
実力,じつりょく
手続き,てつづき
実力,じつりょく
女房,にょうぼう
手続き,てつづき
以降,いこう
集会,しゅうかい
例外,れいがい
幼児,ようじ
出張,しゅっちょう
縛る,しばる
皮肉,ひにく
絞る,しぼる
蚊,か
傑作,けっさく
一流,いちりゅう
動作,どうさ
増大,ぞうだい
不運,ふうん
低下,ていか
身分,みぶん
余る,あまる
周辺,しゅうへん
不運,ふうん
狙い,ねらい
低下,ていか
侵入,しんにゅう
全身,ぜんしん
要領,ようりょう
校舎,こうしゃ
地点,ちてん
分類,ぶんるい
公正,こうせい
高度,こうど
満点,まんてん
改正,かいせい
郵送,ゆうそう
食器,しょっき
一定,いってい
手入れ,ていれ
特定,とくてい
展開,てんかい
日の出,ひので
項目,こうもく
調整,ちょうせい
高める,たかめる
刻む,きざむ
構造,こうぞう
展開,てんかい
時速,じそく
手ごろ,てごろ
小遣い,こづかい
乱暴,らんぼう
利害,りがい
判事,はんじ
苦情,くじょう
学科,がっか
標識,ひょうしき
見舞う,みまう
接近,せっきん
統計,とうけい
知人,ちじん
素直,すなお
見本,みほん
前後,ぜんご
娯楽,ごらく
無数,むすう
崩れる,くずれる
役者,やくしゃ
派手,はで
段階,だんかい
満員,まんいん
弱点,じゃくてん
総理大臣,そうりだいじん
反映,はんえい
対策,たいさく
往復,おうふく
解答,かいとう
頭脳,ずのう
知人,ちじん
挟む,はさむ
役目,やくめ
崩れる,くずれる
争う,あらそう
祖先,そせん
早口,はやくち
輸送,ゆそう
相違,そうい
調節,ちょうせつ
油断,ゆだん
可決,かけつ
呼びかける,よびかける
花嫁,はなよめ
温まる,あたたまる
箇所,かしょ
中身,なかみ
分解,ぶんかい
空中,くうちゅう
先頭,せんとう
冷やす,ひやす
受話器,じゅわき
修繕,しゅうぜん
修繕,しゅうぜん
終了,しゅうりょう
活躍,かつやく
分解,ぶんかい
寄せる,よせる
期限,きげん
油断,ゆだん
焦点,しょうてん
停車,ていしゃ
先頭,せんとう
可決,かけつ
祖先,そせん
追加,ついか
葬式,そうしき
賞金,しょうきん
心得る,こころえる
受験,じゅけん
口実,こうじつ
過程,かてい
応対,おうたい
直後,ちょくご
器具,きぐ
干す,ほす
標準,ひょうじゅん
応対,おうたい
回答,かいとう
追加,ついか
割引,わりびき
推定,すいてい
部品,ぶひん
果たして,はたして
言葉遣い,ことばづかい
直径,ちょっけい
不通,ふつう
恩恵,おんけい
生る,なる
発射,はっしゃ
重ねる,かさねる
行事,ぎょうじ
恨み,うらみ
生る,なる
拡張,かくちょう
指定,してい
気配,けはい
点数,てんすう
活力,かつりょく
間隔,かんかく
出迎える,でむかえる
不通,ふつう
純粋,じゅんすい
素質,そしつ
見直す,みなおす
上下,じょうげ
神様,かみさま
申請,しんせい
発射,はっしゃ
月給,げっきゅう
重ねる,かさねる
形式,けいしき
短期,たんき
残らず,のこらず
窓口,まどぐち
筆者,ひっしゃ
未満,みまん
長男,ちょうなん
謙虚,けんきょ
公表,こうひょう
日時,にちじ
録音,ろくおん
次ぐ,つぐ
過半数,かはんすう
採点,さいてん
売れ行き,うれゆき
応用,おうよう
実物,じつぶつ
対立,たいりつ
受取り,うけとり
英文,えいぶん
縮小,しゅくしょう
一々,いちいち
英文,えいぶん
親類,しんるい
休養,きゅうよう
性能,せいのう
縮小,しゅくしょう
過剰,かじょう
日時,にちじ
採点,さいてん
消極的,しょうきょくてき
売れ行き,うれゆき
作者,さくしゃ
鑑賞,かんしょう
就任,しゅうにん
両側,りょうがわ
体制,たいせい
缶詰,かんづめ
心身,しんしん
公衆,こうしゅう
寿命,じゅみょう
出迎え,でむかえ
功績,こうせき
講師,こうし
混合,こんごう
膨大,ぼうだい
綱,つな
移転,いてん
心身,しんしん
整備,せいび
開会,かいかい
日陰,ひかげ
原料,げんりょう
隔てる,へだてる
看病,かんびょう
両側,りょうがわ
理科,りか
夕日,ゆうひ
鑑賞,かんしょう
手帳,てちょう
真っ先,まっさき
缶詰,かんづめ
削除,さくじょ
原料,げんりょう
理科,りか
雑音,ざつおん
基盤,きばん
用語,ようご
材木,ざいもく
地帯,ちたい
臨時,りんじ
素人,しろうと
起床,きしょう
工事,こうじ
盗難,とうなん
直前,ちょくぜん
民間,みんかん
当日,とうじつ
日程,にってい
重点,じゅうてん
真っ白,まっしろ
敷地,しきち
危うい,あやうい
循環,じゅんかん
問い合わせ,といあわせ
実例,じつれい
真っ白,まっしろ
重点,じゅうてん
交通機関,こうつうきかん
重量,じゅうりょう
栓,せん
民間,みんかん
規律,きりつ
起床,きしょう
強引,ごういん
臨時,りんじ
基盤,きばん
夜間,やかん
当日,とうじつ
直前,ちょくぜん
書籍,しょせき
用語,ようご
警備,けいび
月末,げつまつ
対照,たいしょう
貸家,かしや
開放,かいほう
中間,ちゅうかん
逆さ,さかさ
限度,げんど
高級,こうきゅう
斜め,ななめ
加速,かそく
方面,ほうめん
家主,やぬし
特殊,とくしゅ
日用品,にちようひん
回数,かいすう
快晴,かいせい
夕刊,ゆうかん
子孫,しそん
特色,とくしょく
開放,かいほう
夕刊,ゆうかん
区域,くいき
改造,かいぞう
高級,こうきゅう
中間,ちゅうかん
意義,いぎ
方面,ほうめん
植木,うえき
深まる,ふかまる
寸法,すんぽう
警備,けいび
文脈,ぶんみゃく
休業,きゅうぎょう
月末,げつまつ
響き,ひびき
屋外,おくがい
欄,らん
片道,かたみち
長女,ちょうじょ
長女,ちょうじょ
定期券,ていきけん
厳重,げんじゅう
能率,のうりつ
鉢,はち
基地,きち
出勤,しゅっきん
閉会,へいかい
課税,かぜい
持参,じさん
岬,みさき
実感,じっかん
実用,じつよう
活字,かつじ
力強い,ちからづよい
主役,しゅやく
架空,かくう
瞳,ひとみ
何しろ,なにしろ
絵の具,えのぐ
主役,しゅやく
鉄砲,てっぽう
貝,かい
青少年,せいしょうねん
校庭,こうてい
架空,かくう
基地,きち
以後,いご
順序,じゅんじょ
課税,かぜい
育児,いくじ
写る,うつる
水曜,すいよう
成分,せいぶん
案外,あんがい
正面,しょうめん
後輩,こうはい
地名,ちめい
貸出,かしだし
効力,こうりょく
効力,こうりょく
日帰り,ひがえり
募集,ぼしゅう
評論,ひょうろん
各自,かくじ
題名,だいめい
物置,ものおき
制作,せいさく
酸性,さんせい
標本,ひょうほん
定員,ていいん
私立,しりつ
脂,あぶら
貸出,かしだし
実績,じっせき
入社,にゅうしゃ
粒,つぶ
鈴,すず
終点,しゅうてん
売店,ばいてん
